id,unit_id,status,ownership_type,date_acquired,purchase_amount,monthly_payment,payment_start_date,payment_end_date,lender,make,model,year,purchase_odometer,purchase_odometer_update,odometer,odometer_update,fair_market_value,fair_market_value_date,down_payment,interest_rate,balloon_payment
1,Truck 0003,INACTIVE,Owner operator owned,2025-02-01,0,0,,,Acza Trucking LLC,INTERNATIONAL,TT,2020,0,,,,0,,0,0,0
2,Truck 0008,INACTIVE,Owner operator owned,2024-01-01,0,0,,,Titans MVP Trucking LLC,Freightliner,TT,2016,0,,,,0,,0,0,0
3,Truck 0013,INACTIVE,Owner Operator Owned,11/06/2023,0,0,,,Prieto Trucking LLC,Western Star,TT,2007,,,,,,,,0,
4,Truck 0002,ACTIVE,Owner operator owned,2025-02-01,0,0,,,Temp Vendor,International,TT,2019,0,,557333,5-12-2025 1:16:08,0,,0,0,0
5,Truck 0022,INACTIVE,,,,,,,,kenworth,TT,2006,,,,,,,,,
6,Truck 0007,ACTIVE,Owner Operator Owned,06/11/2024,0,0,06/11/2024,,Cook Bros Trucking,Kenworth,TT,2021,,,428311,5-10-2025 15:23:31,,,,0,
7,Truck 0012,ACTIVE,Owner operator owned,2025-01-01,0,0,,,Goat Transportation LLC,VOLVO,TT,2018,0,,578484,5-10-2025 15:34:33,0,,0,0,0
8,Truck 0035,INACTIVE,Owner Operator Owned,05/20/2024,0,0,05/20/2024,,Mark Ingram,International,TT,2006,,,,,,,,0,
9,Truck 0040,INACTIVE,Owner operator owned,2025-02-01,0,0,,,GBOB Logistics LLC,freightliner,TT,2016,0,,,,0,,0,0,0
10,Truck 0045,INACTIVE,Owner operator owned,2025-01-01,0,0,,,Temp Vendor,freightliner,TT,2018,0,,,,0,,0,0,0
11,Truck 0017,ACTIVE,Owner operator owned,2025-02-01,0,0,,,Temp Vendor,freightliner,TT,2016,0,,862718,5-6-2025 20:31:57,0,,0,0,0
12,SPOT-Truck 0021,ACTIVE,Operating lease,2024-11-01,185000,3687,2024-12-01,2027-06-01,Transport Enterprise Leasing LLC,Peterbilt,579,2025,1150,,70830,5-12-2025 9:25:40,0,,0,0,0
13,Truck 0058,INACTIVE,Owner operator owned,2025-03-01,0,0,,,Temp Vendor,freightliner,TT,2020,0,,,,0,,0,0,0
14,SPOT-Truck 0026,ACTIVE,Operating lease,2024-12-01,188955,4775,2025-01-01,2029-07-01,HOGAN TRUCK LEASING INC,Freightliner,Cascadia,2025,1500,,51503,4-8-2025 15:34:56,0,,0,0,0
15,Truck 0030,ACTIVE,Owner Operator Owned,07/23/2024,0,0,07/23/2024,,Zayastransport,Freightliner,CASCADIA,2007,,,828805,4-18-2025 20:54:14,,,,0,
16,Truck 0069,INACTIVE,Owner operator owned,2024-10-09,,,,,Perkins Trucking,volvo,TT,2016,,,,,,,,,
